bp	cropland_area	cropland_pressure	human_K_factor
5200	1.990000	0.000000	1.000000
5199	1.990000	0.000000	1.000000
5198	1.990000	0.000000	1.000000
5197	1.990000	0.000000	1.000000
5196	1.990000	0.000000	1.000000
5195	1.990000	0.000000	1.000000
5194	1.990000	0.000000	1.000000
5193	1.990000	0.000000	1.000000
5192	1.990000	0.000000	1.000000
5191	1.990000	0.000000	1.000000
5190	1.990000	0.000000	1.000000
5189	1.990000	0.000000	1.000000
5188	1.990000	0.000000	1.000000
5187	1.990000	0.000000	1.000000
5186	1.990000	0.000000	1.000000
5185	1.990000	0.000000	1.000000
5184	1.990000	0.000000	1.000000
5183	1.990000	0.000000	1.000000
5182	1.990000	0.000000	1.000000
5181	1.990000	0.000000	1.000000
5180	1.990000	0.000000	1.000000
5179	1.990000	0.000000	1.000000
5178	1.990000	0.000000	1.000000
5177	1.990000	0.000000	1.000000
5176	1.990000	0.000000	1.000000
5175	1.990000	0.000000	1.000000
5174	1.990000	0.000000	1.000000
5173	1.990000	0.000000	1.000000
5172	1.990000	0.000000	1.000000
5171	1.990000	0.000000	1.000000
5170	1.990000	0.000000	1.000000
5169	1.990000	0.000000	1.000000
5168	1.990000	0.000000	1.000000
5167	1.990000	0.000000	1.000000
5166	1.990000	0.000000	1.000000
5165	1.990000	0.000000	1.000000
5164	1.990000	0.000000	1.000000
5163	1.990000	0.000000	1.000000
5162	1.990000	0.000000	1.000000
5161	1.990000	0.000000	1.000000
5160	1.990000	0.000000	1.000000
5159	1.990000	0.000000	1.000000
5158	1.990000	0.000000	1.000000
5157	1.990000	0.000000	1.000000
5156	1.990000	0.000000	1.000000
5155	1.990000	0.000000	1.000000
5154	1.990000	0.000000	1.000000
5153	1.990000	0.000000	1.000000
5152	1.990000	0.000000	1.000000
5151	1.990000	0.000000	1.000000
5150	1.990000	0.000000	1.000000
5149	1.990000	0.000000	1.000000
5148	1.990000	0.000000	1.000000
5147	1.990000	0.000000	1.000000
5146	1.990000	0.000000	1.000000
5145	1.990000	0.000000	1.000000
5144	1.990000	0.000000	1.000000
5143	1.990000	0.000000	1.000000
5142	1.990000	0.000000	1.000000
5141	1.990000	0.000000	1.000000
5140	1.990000	0.000000	1.000000
5139	1.990000	0.000000	1.000000
5138	1.990000	0.000000	1.000000
5137	1.990000	0.000000	1.000000
5136	1.990000	0.000000	1.000000
5135	1.990000	0.000000	1.000000
5134	1.990000	0.000000	1.000000
5133	1.990000	0.000000	1.000000
5132	1.990000	0.000000	1.000000
5131	1.990000	0.000000	1.000000
5130	1.990000	0.000000	1.000000
5129	1.990000	0.000000	1.000000
5128	1.990000	0.000000	1.000000
5127	1.990000	0.000000	1.000000
5126	1.990000	0.000000	1.000000
5125	1.990000	0.000000	1.000000
5124	1.990000	0.000000	1.000000
5123	1.990000	0.000000	1.000000
5122	1.990000	0.000000	1.000000
5121	1.990000	0.000000	1.000000
5120	1.990000	0.000000	1.000000
5119	1.990000	0.000000	1.000000
5118	1.990000	0.000000	1.000000
5117	1.990000	0.000000	1.000000
5116	1.990000	0.000000	1.000000
5115	1.990000	0.000000	1.000000
5114	1.990000	0.000000	1.000000
5113	1.990000	0.000000	1.000000
5112	1.990000	0.000000	1.000000
5111	1.990000	0.000000	1.000000
5110	1.990000	0.000000	1.000000
5109	1.990000	0.000000	1.000000
5108	1.990000	0.000000	1.000000
5107	1.990000	0.000000	1.000000
5106	1.990000	0.000000	1.000000
5105	1.990000	0.000000	1.000000
5104	1.990000	0.000000	1.000000
5103	1.990000	0.000000	1.000000
5102	1.990000	0.000000	1.000000
5101	1.990000	0.000000	1.000000
5100	1.990000	0.000000	1.000000
5099	1.990000	0.000000	1.000000
5098	1.990000	0.000000	1.000000
5097	1.990000	0.000000	1.000000
5096	1.990000	0.000000	1.000000
5095	1.990000	0.000000	1.000000
5094	1.990000	0.000000	1.000000
5093	1.990000	0.000000	1.000000
5092	1.990000	0.000000	1.000000
5091	1.990000	0.000000	1.000000
5090	1.990000	0.000000	1.000000
5089	1.990000	0.000000	1.000000
5088	1.990000	0.000000	1.000000
5087	1.990000	0.000000	1.000000
5086	1.990000	0.000000	1.000000
5085	1.990000	0.000000	1.000000
5084	1.990000	0.000000	1.000000
5083	1.990000	0.000000	1.000000
5082	1.990000	0.000000	1.000000
5081	1.990000	0.000000	1.000000
5080	1.990000	0.000000	1.000000
5079	1.990000	0.000000	1.000000
5078	1.990000	0.000000	1.000000
5077	1.990000	0.000000	1.000000
5076	1.990000	0.000000	1.000000
5075	1.990000	0.000000	1.000000
5074	1.990000	0.000000	1.000000
5073	1.990000	0.000000	1.000000
5072	1.990000	0.000000	1.000000
5071	1.990000	0.000000	1.000000
5070	1.990000	0.000000	1.000000
5069	1.990000	0.000000	1.000000
5068	1.990000	0.000000	1.000000
5067	1.990000	0.000000	1.000000
5066	1.990000	0.000000	1.000000
5065	1.990000	0.000000	1.000000
5064	1.990000	0.000000	1.000000
5063	1.990000	0.000000	1.000000
5062	1.990000	0.000000	1.000000
5061	1.990000	0.000000	1.000000
5060	1.990000	0.000000	1.000000
5059	1.990000	0.000000	1.000000
5058	1.990000	0.000000	1.000000
5057	1.990000	0.000000	1.000000
5056	1.990000	0.000000	1.000000
5055	1.990000	0.000000	1.000000
5054	1.990000	0.000000	1.000000
5053	1.990000	0.000000	1.000000
5052	1.990000	0.000000	1.000000
5051	1.990000	0.000000	1.000000
