bp	settlements	annual_hunting_mortality
5200	372.000000	0.025000
5199	372.000000	0.025000
5198	372.000000	0.025000
5197	372.000000	0.025000
5196	372.000000	0.025000
5195	372.000000	0.025000
5194	372.000000	0.025000
5193	372.000000	0.025000
5192	372.000000	0.025000
5191	372.000000	0.025000
5190	372.000000	0.025000
5189	372.000000	0.025000
5188	372.000000	0.025000
5187	372.000000	0.025000
5186	372.000000	0.025000
5185	372.000000	0.025000
5184	372.000000	0.025000
5183	372.000000	0.025000
5182	372.000000	0.025000
5181	372.000000	0.025000
5180	372.000000	0.025000
5179	372.000000	0.025000
5178	372.000000	0.025000
5177	372.000000	0.025000
5176	372.000000	0.025000
5175	372.000000	0.025000
5174	372.000000	0.025000
5173	372.000000	0.025000
5172	372.000000	0.025000
5171	372.000000	0.025000
5170	372.000000	0.025000
5169	372.000000	0.025000
5168	372.000000	0.025000
5167	372.000000	0.025000
5166	372.000000	0.025000
5165	372.000000	0.025000
5164	372.000000	0.025000
5163	372.000000	0.025000
5162	372.000000	0.025000
5161	372.000000	0.025000
5160	372.000000	0.025000
5159	372.000000	0.025000
5158	372.000000	0.025000
5157	372.000000	0.025000
5156	372.000000	0.025000
5155	372.000000	0.025000
5154	372.000000	0.025000
5153	372.000000	0.025000
5152	372.000000	0.025000
5151	372.000000	0.025000
5150	372.000000	0.025000
5149	372.000000	0.025000
5148	372.000000	0.025000
5147	372.000000	0.025000
5146	372.000000	0.025000
5145	372.000000	0.025000
5144	372.000000	0.025000
5143	372.000000	0.025000
5142	372.000000	0.025000
5141	372.000000	0.025000
5140	372.000000	0.025000
5139	372.000000	0.025000
5138	372.000000	0.025000
5137	372.000000	0.025000
5136	372.000000	0.025000
5135	372.000000	0.025000
5134	372.000000	0.025000
5133	372.000000	0.025000
5132	372.000000	0.025000
5131	372.000000	0.025000
5130	372.000000	0.025000
5129	372.000000	0.025000
5128	372.000000	0.025000
5127	372.000000	0.025000
5126	372.000000	0.025000
5125	372.000000	0.025000
5124	372.000000	0.025000
5123	372.000000	0.025000
5122	372.000000	0.025000
5121	372.000000	0.025000
5120	372.000000	0.025000
5119	372.000000	0.025000
5118	372.000000	0.025000
5117	372.000000	0.025000
5116	372.000000	0.025000
5115	372.000000	0.025000
5114	372.000000	0.025000
5113	372.000000	0.025000
5112	372.000000	0.025000
5111	372.000000	0.025000
5110	372.000000	0.025000
5109	372.000000	0.025000
5108	372.000000	0.025000
5107	372.000000	0.025000
5106	372.000000	0.025000
5105	372.000000	0.025000
5104	372.000000	0.025000
5103	372.000000	0.025000
5102	372.000000	0.025000
5101	372.000000	0.025000
5100	372.000000	0.025000
5099	372.000000	0.025000
5098	372.000000	0.025000
5097	372.000000	0.025000
5096	372.000000	0.025000
5095	372.000000	0.025000
5094	372.000000	0.025000
5093	372.000000	0.025000
5092	372.000000	0.025000
5091	372.000000	0.025000
5090	372.000000	0.025000
5089	372.000000	0.025000
5088	372.000000	0.025000
5087	372.000000	0.025000
5086	372.000000	0.025000
5085	372.000000	0.025000
5084	372.000000	0.025000
5083	372.000000	0.025000
5082	372.000000	0.025000
5081	372.000000	0.025000
5080	372.000000	0.025000
5079	372.000000	0.025000
5078	372.000000	0.025000
5077	372.000000	0.025000
5076	372.000000	0.025000
5075	372.000000	0.025000
5074	372.000000	0.025000
5073	372.000000	0.025000
5072	372.000000	0.025000
5071	372.000000	0.025000
5070	372.000000	0.025000
5069	372.000000	0.025000
5068	372.000000	0.025000
5067	372.000000	0.025000
5066	372.000000	0.025000
5065	372.000000	0.025000
5064	372.000000	0.025000
5063	372.000000	0.025000
5062	372.000000	0.025000
5061	372.000000	0.025000
5060	372.000000	0.025000
5059	372.000000	0.025000
5058	372.000000	0.025000
5057	372.000000	0.025000
5056	372.000000	0.025000
5055	372.000000	0.025000
5054	372.000000	0.025000
5053	372.000000	0.025000
5052	372.000000	0.025000
5051	372.000000	0.025000
5050	372.000000	0.025000
5049	372.000000	0.025000
5048	372.000000	0.025000
5047	372.000000	0.025000
5046	372.000000	0.025000
5045	372.000000	0.025000
5044	372.000000	0.025000
5043	372.000000	0.025000
5042	372.000000	0.025000
5041	372.000000	0.025000
5040	372.000000	0.025000
5039	372.000000	0.025000
5038	372.000000	0.025000
5037	372.000000	0.025000
5036	372.000000	0.025000
5035	372.000000	0.025000
5034	372.000000	0.025000
5033	372.000000	0.025000
5032	372.000000	0.025000
5031	372.000000	0.025000
5030	372.000000	0.025000
5029	372.000000	0.025000
5028	372.000000	0.025000
5027	372.000000	0.025000
5026	372.000000	0.025000
5025	372.000000	0.025000
5024	372.000000	0.025000
5023	372.000000	0.025000
5022	372.000000	0.025000
5021	372.000000	0.025000
5020	372.000000	0.025000
5019	372.000000	0.025000
5018	372.000000	0.025000
5017	372.000000	0.025000
5016	372.000000	0.025000
5015	372.000000	0.025000
5014	372.000000	0.025000
5013	372.000000	0.025000
5012	372.000000	0.025000
5011	372.000000	0.025000
5010	372.000000	0.025000
5009	372.000000	0.025000
5008	372.000000	0.025000
5007	372.000000	0.025000
5006	372.000000	0.025000
5005	372.000000	0.025000
5004	372.000000	0.025000
5003	372.000000	0.025000
5002	372.000000	0.025000
5001	372.000000	0.025000
5000	372.000000	0.025000
4999	372.000000	0.025000
4998	372.000000	0.025000
4997	372.000000	0.025000
4996	372.000000	0.025000
4995	372.000000	0.025000
4994	372.000000	0.025000
4993	372.000000	0.025000
4992	372.000000	0.025000
4991	372.000000	0.025000
4990	372.000000	0.025000
4989	372.000000	0.025000
4988	372.000000	0.025000
4987	372.000000	0.025000
4986	372.000000	0.025000
4985	372.000000	0.025000
4984	372.000000	0.025000
4983	372.000000	0.025000
4982	372.000000	0.025000
4981	372.000000	0.025000
4980	372.000000	0.025000
4979	372.000000	0.025000
4978	372.000000	0.025000
4977	372.000000	0.025000
4976	372.000000	0.025000
4975	372.000000	0.025000
4974	372.000000	0.025000
4973	372.000000	0.025000
4972	372.000000	0.025000
4971	372.000000	0.025000
4970	372.000000	0.025000
4969	372.000000	0.025000
